Photo_Table::Web,CommonName,FileNameOrigin,PhotoID_pi,FileName,Image,File Name_origin,DateYear_pi,DateMonth_pi,DateDay_pi,FIleName_Old_pi,Date,Time,File Path,DateSeason_txt_pi,DateSeason#_pi,DateYearDay_pi,Photo_Desc_pi,EXIF_FN_cal_pi,EXIF_AV_cal_pi,EXIF_Exp_pi,EXIF_FocalLength_cal_pi,PhotoAltTitle,EXIF_ISO_pi,EXIF_SS_cal_pi,Keywords_pi,LocationID_pi,Species,CommonName_pi,Name_Individual_Plant_Nickname,Name#_Individual,PhotographerName_auto_pi,Camera_Make_pi,LocDesc_pi,LatinName_pi,Camera_Model_pi,LocName,Photo_verify_pi,Photo_verify_OK_pi,Species_Table::NameAlt1,Photo_View,Photo_Quality,EcoType,Photo_Repeatable,Photo_Comparison,LocElevation_pi,Lat,LocElevation_pi_calc_2,Weather_pi,FlowerPhase,Long,LocSlope_pi,Flower#_pi,LocAspect_pi,Flower%_pi,FacilitiesManagement_pi,Lat_Long_pi,LeafPhase,Leaf%_pi,WebGallery_Done?_pi,Canopy%_pi,Dead_or_Alive_pi,WebGalleryHTML_pi,FieldNotes_pi,Associated_PlantsID_pi,Invasive_PlantsID_pi,ToDo_pi,Associated_AnimalsID_pi,Associated_BirdsID_pi,Associated_PhenomenaID_pi,Flower_Phase#_pi,Leaf_Phase#_pi,CreatedBy_pi,CreatedBy_Date_pi,Species_Table::FlowerShape,Species_Table::FlowerPetal#,Species_Table::FlowerColour,ModifiedBy_pi,ModifiedBy_Date_pi,Species_Table::LeafShape,Species_Table::LeafPerStem#,NameNoExt,FileNameTb
,Himalayan Blackberry,rudi_fw_2014_06_23_IMG_2049.jpg,256,rudi_fw_2014_06_23_IMG_2049_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/rudi_fw_2014_06_23_IMG_2049_web.jpg,rudi_fw_2014_06_23_IMG_2049.jpg,2014,6,23,2049,2014-06-23, 1:02:59 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/rudi_fw_2014_06_23_IMG_2049_web.jpg,0,4,174,,4,4,1320,4.5,"Himalayan Blackberry, with , and , at Fraser Woods, 2014-06-23.",160,8.321928,,0,rudi,Himalayan Blackberry,,,Wendy Anthony,0,,0,280,Fraser Woods,,,,,,,,,30710,48.464455,30,,,-123.316247,,,,,,48.46445512,,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/rudi_fw_2014_06_23_IMG_2049_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/rudi_fw_2014_06_23_IMG_2049_tb.jpg"" width=""180"" height=""135"" title=""Himalayan Blackberry, with , and , at Fraser Woods, 2014-06-23."" alt=""Himalayan Blackberry, with , and , at Fraser Woods, 2014-06-23."" class=""imgtb"" border=""1""></a><br>Jun 23, 2014<br>(fw)",,,,,,,,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,rudi_fw_2014_06_23_IMG_2049,rudi_fw_2014_06_23_IMG_2049_tb.jpg
,Himalayan Blackberry,rudi_fw_2014_07_02_IMG_3521.jpg,315,rudi_fw_2014_07_02_IMG_3521_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/rudi_fw_2014_07_02_IMG_3521_web.jpg,rudi_fw_2014_07_02_IMG_3521.jpg,2014,7,2,3521,2014-07-02, 2:41:05 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/rudi_fw_2014_07_02_IMG_3521_web.jpg,0,4,183,,3.5,3.61471,160,4.5,"Himalayan Blackberry, with , and , at Fraser Woods, 2014-07-02.",400,5.906891,,0,rudi,Himalayan Blackberry,,,Wendy Anthony,0,,0,280,Fraser Woods,,,,,,,,,6135,48.464655,122,,,-123.31603,,,,,,48.46465512,,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/rudi_fw_2014_07_02_IMG_3521_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/rudi_fw_2014_07_02_IMG_3521_tb.jpg"" width=""180"" height=""135"" title=""Himalayan Blackberry, with , and , at Fraser Woods, 2014-07-02."" alt=""Himalayan Blackberry, with , and , at Fraser Woods, 2014-07-02."" class=""imgtb"" border=""1""></a><br>Jul 02, 2014<br>(fw)",,,,,,,,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,rudi_fw_2014_07_02_IMG_3521,rudi_fw_2014_07_02_IMG_3521_tb.jpg
,Himalayan Blackberry,rudi_gom_2014_05_27_IMG_4067.jpg,151,rudi_gom_2014_05_27_IMG_4067_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/rudi_gom_2014_05_27_IMG_4067_web.jpg,rudi_gom_2014_05_27_IMG_4067.jpg,2014,5,27,4067,2014-05-27, 2:36:26 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/rudi_gom_2014_05_27_IMG_4067_web.jpg,0,3,147,,6.8,5.531069,1160,90,"Himalayan Blackberry, with , and , at Garry Oak Meadow, 2014-05-27.",800,7.321928,,0,rudi,Himalayan Blackberry,,,Wendy Anthony,0,,0,280,Garry Oak Meadow,,,,,,,,,551,48.460945,55,,,-123.31928,,,,,,48.46094512,,,,,,"<a name=""Spring2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/rudi_gom_2014_05_27_IMG_4067_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/rudi_gom_2014_05_27_IMG_4067_tb.jpg"" width=""180"" height=""135"" title=""Himalayan Blackberry, with , and , at Garry Oak Meadow, 2014-05-27."" alt=""Himalayan Blackberry, with , and , at Garry Oak Meadow, 2014-05-27."" class=""imgtb"" border=""1""></a><br>May 27, 2014<br>(gom)",,,,,,,,,,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,rudi_gom_2014_05_27_IMG_4067,rudi_gom_2014_05_27_IMG_4067_tb.jpg
,Himalayan Blackberry,rudi_wcw_2009_07_31_IMG_1254.jpg,152,rudi_wcw_2009_07_31_IMG_1254_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/rudi_wcw_2009_07_31_IMG_1254_web.jpg,rudi_wcw_2009_07_31_IMG_1254.jpg,2009,7,31,1254,2009-07-31, 1:53:30 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/rudi_wcw_2009_07_31_IMG_1254_web.jpg,0,4,212,"Himalayan Blackberry side-by-side with  Trailing Blackberry, with my hand as comparison",3.5,3.61471,160,6,"Himalayan Blackberry, with Leaf Growing, and Dormant, at West Campus Way, 2009-07-31.",,5.906891,,0,rudi,Himalayan Blackberry,,,Wendy Anthony,0,,0,3,West Campus Way,,,,,,,,,,48.465293,,,Dormant,-123.317787,,,,,,48.46529312,Leaf Growing,,,,,"<a name=""Summer2009""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/rudi_wcw_2009_07_31_IMG_1254_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/rudi_wcw_2009_07_31_IMG_1254_tb.jpg"" width=""180"" height=""135"" title=""Himalayan Blackberry, with Leaf Growing, and Dormant, at West Campus Way, 2009-07-31."" alt=""Himalayan Blackberry, with Leaf Growing, and Dormant, at West Campus Way, 2009-07-31."" class=""imgtb"" border=""1""></a><br>Jul 31, 2009<br>(wcw)",,Trailing Blackberry,Himalyan Blackberry,,,,,1,5,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,rudi_wcw_2009_07_31_IMG_1254,rudi_wcw_2009_07_31_IMG_1254_tb.jpg
,Horsetail,eq_irmg_2014_07_04_IMG_4584.jpg,275,eq_irmg_2014_07_04_IMG_4584_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/eq_irmg_2014_07_04_IMG_4584_web.jpg,eq_irmg_2014_07_04_IMG_4584.jpg,2014,7,4,4584,2014-07-04, 4:19:22 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/eq_irmg_2014_07_04_IMG_4584_web.jpg,0,4,185,,3.5,3.61471,1250,4.5,"Horsetail, with , and , at Ian Ross Memorial Garden DTB, 2014-07-04.",400,7.965784,,0,eq,Horsetail,,,Wendy Anthony,0,,0,280,Ian Ross Memorial Garden DTB,,,,,,,,,532,48.464697,26,,,-123.314505,,,,,,48.46469712,,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/eq_irmg_2014_07_04_IMG_4584_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/eq_irmg_2014_07_04_IMG_4584_tb.jpg"" width=""180"" height=""135"" title=""Horsetail, with , and , at Ian Ross Memorial Garden DTB, 2014-07-04."" alt=""Horsetail, with , and , at Ian Ross Memorial Garden DTB, 2014-07-04."" class=""imgtb"" border=""1""></a><br>Jul 04, 2014<br>(irmg)",,,,,,,,,,Wendy Anthony,2014-07-13,,,,Wendy Anthony,2014-07-13,,,eq_irmg_2014_07_04_IMG_4584,eq_irmg_2014_07_04_IMG_4584_tb.jpg
,Kinnikinnick,aruv_fph_2014_07_04_IMG_4285.jpg,238,aruv_fph_2014_07_04_IMG_4285_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/aruv_fph_2014_07_04_IMG_4285_web.jpg,aruv_fph_2014_07_04_IMG_4285.jpg,2014,7,4,4285,2014-07-04, 3:23:53 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/aruv_fph_2014_07_04_IMG_4285_web.jpg,0,4,185,,4,4,150,4.5,"Kinnikinnick, with Leaf Growing, and Flower Bud Form, at First People's House, 2014-07-04.",125,5.643856,,0,aruv,Kinnikinnick,,,Wendy Anthony,0,,0,280,First People's House,,,Bearberry,Group,OK,Sidewalk Edge,,,,48.463887,,,Flower Bud Form,-123.31133,,,,,,48.46388712,Leaf Growing,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/aruv_fph_2014_07_04_IMG_4285_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/aruv_fph_2014_07_04_IMG_4285_tb.jpg"" width=""180"" height=""135"" title=""Kinnikinnick, with Leaf Growing, and Flower Bud Form, at First People's House, 2014-07-04."" alt=""Kinnikinnick, with Leaf Growing, and Flower Bud Form, at First People's House, 2014-07-04."" class=""imgtb"" border=""1""></a><br>Jul 04, 2014<br>(fph)",fallen maple leaves,"Deer Fern
Tall Oregon-grape",,,,,,2,5,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,aruv_fph_2014_07_04_IMG_4285,aruv_fph_2014_07_04_IMG_4285_tb.jpg
,Kinnikinnick,aruv_fph_2014_07_04_IMG_4290.jpg,368,aruv_fph_2014_07_04_IMG_4290_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/aruv_fph_2014_07_04_IMG_4290_web.jpg,aruv_fph_2014_07_04_IMG_4290.jpg,2014,7,4,4290,2014-07-04, 3:24:52 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/aruv_fph_2014_07_04_IMG_4290_web.jpg,0,4,185,,4,4,130,4.5,"Kinnikinnick, with Leaf Opening, and Flower Bud Form, at First People's House, 2014-07-04.",80,4.906891,,0,aruv,Kinnikinnick,,,Wendy Anthony,0,,0,280,First People's House,,,Bearberry,Closeup,Good,Sidewalk Edge,,,2545,48.46388,50,,Flower Bud Form,-123.311403,,,,,,48.46388012,Leaf Opening,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/aruv_fph_2014_07_04_IMG_4290_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/aruv_fph_2014_07_04_IMG_4290_tb.jpg"" width=""180"" height=""135"" title=""Kinnikinnick, with Leaf Opening, and Flower Bud Form, at First People's House, 2014-07-04."" alt=""Kinnikinnick, with Leaf Opening, and Flower Bud Form, at First People's House, 2014-07-04."" class=""imgtb"" border=""1""></a><br>Jul 04, 2014<br>(fph)",,,,,,,,2,4,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,aruv_fph_2014_07_04_IMG_4290,aruv_fph_2014_07_04_IMG_4290_tb.jpg
,Kinnikinnick,aruv_irmg_2009_03_26_IMG_4864.jpg,15,aruv_irmg_2009_03_26_IMG_4864_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/aruv_irmg_2009_03_26_IMG_4864_web.jpg,aruv_irmg_2009_03_26_IMG_4864.jpg,2009,3,26,4864,2009-03-26, 5:44:18 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/aruv_irmg_2009_03_26_IMG_4864_web.jpg,0,3,85,Uni 201 ethnobotany walk with Brenda Beckwith,2.7,2.865919,140,6.7,"Kinnikinnick, with Dormant, and Dormant, at Ian Ross Memorial Garden DTB, 2009-03-26.",,5.321928,,0,aruv,Kinnikinnick,,,Wendy Anthony,0,,0,3,Ian Ross Memorial Garden DTB,,,Bearberry,General,OK,Sidewalk Edge,,,,48.464752,,"cool, cloudy",Dormant,-123.31475,,,,,Chip cover; no weeds; no grass,48.46475212,Dormant,,,,,"<a name=""Spring2009""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/aruv_irmg_2009_03_26_IMG_4864_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/aruv_irmg_2009_03_26_IMG_4864_tb.jpg"" width=""180"" height=""135"" title=""Kinnikinnick, with Dormant, and Dormant, at Ian Ross Memorial Garden DTB, 2009-03-26."" alt=""Kinnikinnick, with Dormant, and Dormant, at Ian Ross Memorial Garden DTB, 2009-03-26."" class=""imgtb"" border=""1""></a><br>Mar 26, 2009<br>(irmg)",,Nodding Onion,,,,,Uni 201 Students,1,1,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,aruv_irmg_2009_03_26_IMG_4864,aruv_irmg_2009_03_26_IMG_4864_tb.jpg
,Kinnikinnick,aruv_irmg_2014_07_04_IMG_4555.jpg,286,aruv_irmg_2014_07_04_IMG_4555_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/aruv_irmg_2014_07_04_IMG_4555_web.jpg,aruv_irmg_2014_07_04_IMG_4555.jpg,2014,7,4,4555,2014-07-04, 4:16:06 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/aruv_irmg_2014_07_04_IMG_4555_web.jpg,0,4,185,,4.5,4.33985,160,16.6,"Kinnikinnick, with Leaf Full, and Dormant, at Ian Ross Memorial Garden DTB, 2014-07-04.",200,5.906891,,0,aruv,Kinnikinnick,,,Wendy Anthony,0,,0,280,Ian Ross Memorial Garden DTB,,,Bearberry,Group,OK,Sidewalk Edge,,,1285,48.46487,25,,Dormant,-123.31477,,,,,,48.46487012,Leaf Full,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/aruv_irmg_2014_07_04_IMG_4555_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/aruv_irmg_2014_07_04_IMG_4555_tb.jpg"" width=""180"" height=""135"" title=""Kinnikinnick, with Leaf Full, and Dormant, at Ian Ross Memorial Garden DTB, 2014-07-04."" alt=""Kinnikinnick, with Leaf Full, and Dormant, at Ian Ross Memorial Garden DTB, 2014-07-04."" class=""imgtb"" border=""1""></a><br>Jul 04, 2014<br>(irmg)",,,,,,,,1,6,Wendy Anthony,2014-07-13,,,White,Wendy Anthony,2014-07-13,,,aruv_irmg_2014_07_04_IMG_4555,aruv_irmg_2014_07_04_IMG_4555_tb.jpg
,Largeleaf Maple,acma_bct_2010_03_23_IMG_8194.jpg,3,acma_bct_2010_03_23_IMG_8194_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_bct_2010_03_23_IMG_8194_web.jpg,acma_bct_2010_03_23_IMG_8194.jpg,2010,3,23,8194,2010-03-23, 6:22:27 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_bct_2010_03_23_IMG_8194_web.jpg,0,3,82,,2.7,2.865919,160,6,"Largeleaf Maple, with Leaf Bud Swell, and Dormant, at Bowker Creek Trail, 2010-03-23.",,5.906891,,0,acma,Largeleaf Maple,,,Wendy Anthony,0,,0,3,Bowker Creek Trail,,,,General,OK,Path Edge,,,,48.464562,,,Dormant,-123.318512,,,,,,48.46456212,Leaf Bud Swell,,,,,"<a name=""Spring2010""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/acma_bct_2010_03_23_IMG_8194_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/acma_bct_2010_03_23_IMG_8194_tb.jpg"" width=""180"" height=""135"" title=""Largeleaf Maple, with Leaf Bud Swell, and Dormant, at Bowker Creek Trail, 2010-03-23."" alt=""Largeleaf Maple, with Leaf Bud Swell, and Dormant, at Bowker Creek Trail, 2010-03-23."" class=""imgtb"" border=""1""></a><br>Mar 23, 2010<br>(bct)",,,,,,,,1,2,Wendy Anthony,2014-07-13,,,Yellow,Wendy Anthony,2014-07-13,,,acma_bct_2010_03_23_IMG_8194,acma_bct_2010_03_23_IMG_8194_tb.jpg
,Largeleaf Maple,acma_fw_2014_03_22_IMG_5014.jpg,4,acma_fw_2014_03_22_IMG_5014_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_03_22_IMG_5014_web.jpg,acma_fw_2014_03_22_IMG_5014.jpg,2014,3,22,5014,2014-03-22, 1:00:01 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_03_22_IMG_5014_web.jpg,0,3,81,,3.5,3.61471,11250,4.5,"Largeleaf Maple, with Leaf Bud Swell, and Dormant, at Fraser Woods, 2014-03-22.",80,1.028771,,0,acma,Largeleaf Maple,,,Wendy Anthony,0,,0,280,Fraser Woods,,,,Individual,OK,Sidewalk Edge,,,3425,48.464547,68,,Dormant,-123.316278,,,,,,48.46454712,Leaf Bud Swell,,,,,"<a name=""Spring2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_03_22_IMG_5014_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_03_22_IMG_5014_tb.jpg"" width=""180"" height=""135"" title=""Largeleaf Maple, with Leaf Bud Swell, and Dormant, at Fraser Woods, 2014-03-22."" alt=""Largeleaf Maple, with Leaf Bud Swell, and Dormant, at Fraser Woods, 2014-03-22."" class=""imgtb"" border=""1""></a><br>Mar 22, 2014<br>(fw)",,,,,,,,1,2,Wendy Anthony,2014-07-13,,,Yellow,Wendy Anthony,2014-07-13,,,acma_fw_2014_03_22_IMG_5014,acma_fw_2014_03_22_IMG_5014_tb.jpg
,Largeleaf Maple,acma_fw_2014_03_22_IMG_5106.jpg,5,acma_fw_2014_03_22_IMG_5106_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_03_22_IMG_5106_web.jpg,acma_fw_2014_03_22_IMG_5106.jpg,2014,3,22,5106,2014-03-22, 3:58:14 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_03_22_IMG_5106_web.jpg,0,3,81,,4,4,150,4.5,"Largeleaf Maple, with ??, and ??, at Fraser Woods, 2014-03-22.",160,5.643856,,0,acma,Largeleaf Maple,,,Wendy Anthony,0,,0,280,Fraser Woods,,,,General,Overexposed,Forest,,,58310,48.464528,58,,??,-123.316488,,,,,Maple cut during winter,48.46452812,??,,,,Not Sure,"<a name=""Spring2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_03_22_IMG_5106_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_03_22_IMG_5106_tb.jpg"" width=""180"" height=""135"" title=""Largeleaf Maple, with ??, and ??, at Fraser Woods, 2014-03-22."" alt=""Largeleaf Maple, with ??, and ??, at Fraser Woods, 2014-03-22."" class=""imgtb"" border=""1""></a><br>Mar 22, 2014<br>(fw)",,"Arbutus
Douglas Fir",,,,,,0,0,Wendy Anthony,2014-07-13,,,Yellow,Wendy Anthony,2014-07-13,,,acma_fw_2014_03_22_IMG_5106,acma_fw_2014_03_22_IMG_5106_tb.jpg
,Largeleaf Maple,acma_fw_2014_03_22_IMG_5111.jpg,6,acma_fw_2014_03_22_IMG_5111_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_03_22_IMG_5111_web.jpg,acma_fw_2014_03_22_IMG_5111.jpg,2014,3,22,5111,2014-03-22, 3:59:35 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_03_22_IMG_5111_web.jpg,0,3,81,,4,4,1200,4.5,"Largeleaf Maple, with Leaf Bud Break, and Dormant, at Fraser Woods, 2014-03-22.",160,7.643856,,0,acma,Largeleaf Maple,,,Wendy Anthony,0,,0,280,Fraser Woods,,,,Individual,Overexposed,Sidewalk Edge,,,2865,48.46457,57,,Dormant,-123.316303,,,,,,48.46457012,Leaf Bud Break,,,,,"<a name=""Spring2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_03_22_IMG_5111_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_03_22_IMG_5111_tb.jpg"" width=""180"" height=""135"" title=""Largeleaf Maple, with Leaf Bud Break, and Dormant, at Fraser Woods, 2014-03-22."" alt=""Largeleaf Maple, with Leaf Bud Break, and Dormant, at Fraser Woods, 2014-03-22."" class=""imgtb"" border=""1""></a><br>Mar 22, 2014<br>(fw)",,,,,,,,1,3,Wendy Anthony,2014-07-13,,,Yellow,Wendy Anthony,2014-07-13,,,acma_fw_2014_03_22_IMG_5111,acma_fw_2014_03_22_IMG_5111_tb.jpg
,Largeleaf Maple,acma_fw_2014_03_22_IMG_5113.jpg,7,acma_fw_2014_03_22_IMG_5113_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_03_22_IMG_5113_web.jpg,acma_fw_2014_03_22_IMG_5113.jpg,2014,3,22,5113,2014-03-22, 3:59:44 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_03_22_IMG_5113_web.jpg,0,3,81,Barred Owl,6.8,5.531069,1160,90,"Largeleaf Maple, with Leaf Bud Break, and Dormant, at Fraser Woods, 2014-03-22.",320,7.321928,Barred Owl,0,acma,Largeleaf Maple,,,Wendy Anthony,0,,0,280,Fraser Woods,,,,Closeup,Good,Forest,,,57310,48.46457,57,,Dormant,-123.316312,,,,,,48.46457012,Leaf Bud Break,,,,,"<a name=""Spring2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_03_22_IMG_5113_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_03_22_IMG_5113_tb.jpg"" width=""180"" height=""135"" title=""Largeleaf Maple, with Leaf Bud Break, and Dormant, at Fraser Woods, 2014-03-22."" alt=""Largeleaf Maple, with Leaf Bud Break, and Dormant, at Fraser Woods, 2014-03-22."" class=""imgtb"" border=""1""></a><br>Mar 22, 2014<br>(fw)",Barred Owl,,,,,Barred Owl,,1,3,Wendy Anthony,2014-07-13,,,Yellow,Wendy Anthony,2014-07-13,,,acma_fw_2014_03_22_IMG_5113,acma_fw_2014_03_22_IMG_5113_tb.jpg
,Largeleaf Maple,acma_fw_2014_06_23_IMG_2065.jpg,190,acma_fw_2014_06_23_IMG_2065_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_06_23_IMG_2065_web.jpg,acma_fw_2014_06_23_IMG_2065.jpg,2014,6,23,2065,2014-06-23, 1:07:31 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_06_23_IMG_2065_web.jpg,0,4,174,,3.5,3.61471,1250,4.5,"Largeleaf Maple, with Leaf Colour, and ??, at Fraser Woods, 2014-06-23.",400,7.965784,,0,acma,Largeleaf Maple,,,Wendy Anthony,0,,0,280,Fraser Woods,,,,Closeup,Good,Sidewalk Edge,,,1675,48.464422,33,,??,-123.31622,,,,,,48.46442212,Leaf Colour,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_06_23_IMG_2065_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_06_23_IMG_2065_tb.jpg"" width=""180"" height=""135"" title=""Largeleaf Maple, with Leaf Colour, and ??, at Fraser Woods, 2014-06-23."" alt=""Largeleaf Maple, with Leaf Colour, and ??, at Fraser Woods, 2014-06-23."" class=""imgtb"" border=""1""></a><br>Jun 23, 2014<br>(fw)",,,,,,,,0,8,Wendy Anthony,2014-07-13,,,Yellow,Wendy Anthony,2014-07-13,,,acma_fw_2014_06_23_IMG_2065,acma_fw_2014_06_23_IMG_2065_tb.jpg
,Largeleaf Maple,acma_fw_2014_07_02_IMG_3536.jpg,309,acma_fw_2014_07_02_IMG_3536_web.jpg,image:/ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_07_02_IMG_3536_web.jpg,acma_fw_2014_07_02_IMG_3536.jpg,2014,7,2,3536,2014-07-02, 2:44:26 PM,file://ADATA HD710/UVic-Phenology-Photography/PhotoDatabase/WebPhotos-in-DB/acma_fw_2014_07_02_IMG_3536_web.jpg,0,4,183,,3.5,3.61471,160,4.5,"Largeleaf Maple, with Leaf Colour, and ??, at Fraser Woods, 2014-07-02.",500,5.906891,,0,acma,Largeleaf Maple,,,Wendy Anthony,0,,0,280,Fraser Woods,,,,Individual,OK,Sidewalk Edge,,,,48.46432,,,??,-123.31625,,,,,,48.46432012,Leaf Colour,,,,,"<a name=""Summer2014""></a><a href=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_07_02_IMG_3536_web.jpg""><img src=""http://web.uvic.ca/~wanthony/phenology/images/acma_fw_2014_07_02_IMG_3536_tb.jpg"" width=""180"" height=""135"" title=""Largeleaf Maple, with Leaf Colour, and ??, at Fraser Woods, 2014-07-02."" alt=""Largeleaf Maple, with Leaf Colour, and ??, at Fraser Woods, 2014-07-02."" class=""imgtb"" border=""1""></a><br>Jul 02, 2014<br>(fw)",,,,,,,,0,8,Wendy Anthony,2014-07-13,,,Yellow,Wendy Anthony,2014-07-13,,,acma_fw_2014_07_02_IMG_3536,acma_fw_2014_07_02_IMG_3536_tb.jpg
